Point ID,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
2488,0.00135531,-0.00114127,0.00037082,0.026,0.0260277,-3.82417e-05,9.29994e-06,0.0234289,0.0234289
2489,0.00135399,-0.00152169,0.000494427,0.026,0.0260492,-4.67169e-05,1.22057e-05,0.0230413,0.0230414
2490,0.00135296,-0.00190211,0.000618034,0.026,0.0260768,-5.23608e-05,1.42603e-05,0.0224558,0.0224559
2491,0.00135914,-0.0004,0,0.026,0.0260031,-1.74965e-05,-2.41622e-06,0.0237663,0.0237663
2492,0.0013567,-0.0008,0,0.026,0.0260123,-2.95076e-05,-2.37692e-06,0.0236572,0.0236572
2493,0.00135533,-0.0012,0,0.026,0.0260277,-4.01085e-05,-2.30703e-06,0.0234291,0.0234291
2494,0.00135401,-0.0016,0,0.026,0.0260492,-4.90364e-05,-2.19312e-06,0.0230416,0.0230416
2495,0.00135298,-0.002,0,0.026,0.0260768,-5.49872e-05,-2.02802e-06,0.022456,0.0224561
2496,0.00126122,-0.000123607,0.000380423,0.027,0.027003,-4.79273e-06,9.13615e-06,0.0237085,0.0237085
2497,0.00125938,-0.000247214,0.000760845,0.027,0.0270119,-7.50738e-06,1.76029e-05,0.0236021,0.0236021
2498,0.00125834,-0.00037082,0.00114127,0.027,0.0270267,-9.89397e-06,2.51409e-05,0.0233792,0.0233792
2499,0.00125734,-0.000494427,0.00152169,0.027,0.0270474,-1.188e-05,3.15648e-05,0.022999,0.022999
2500,0.00125656,-0.000618034,0.00190211,0.027,0.027074,-1.31604e-05,3.59548e-05,0.0224226,0.0224227
2501,0.00126123,-0.000235114,0.000323607,0.027,0.027003,-7.84349e-06,7.59e-06,0.0237086,0.0237086
2502,0.0012594,-0.000470228,0.000647214,0.027,0.0270119,-1.30391e-05,1.48057e-05,0.0236023,0.0236023
2503,0.00125836,-0.000705343,0.000970821,0.027,0.0270267,-1.76306e-05,2.12369e-05,0.0233794,0.0233795
2504,0.00125736,-0.000940457,0.00129443,0.027,0.0270474,-2.14871e-05,2.67245e-05,0.0229993,0.0229993
2505,0.00125658,-0.00117557,0.00161803,0.027,0.027074,-2.40311e-05,3.04853e-05,0.0224229,0.022423
2506,0.00126124,-0.000323607,0.000235114,0.027,0.027003,-1.02691e-05,5.17543e-06,0.0237087,0.0237087
2507,0.00125942,-0.000647214,0.000470228,0.027,0.0270119,-1.74407e-05,1.04326e-05,0.0236025,0.0236026
2508,0.00125838,-0.000970821,0.000705343,0.027,0.0270267,-2.37912e-05,1.51268e-05,0.0233797,0.0233797
2509,0.00125738,-0.00129443,0.000940457,0.027,0.0270474,-2.9141e-05,1.91432e-05,0.0229996,0.0229996
2510,0.00125661,-0.00161803,0.00117557,0.027,0.027074,-3.26961e-05,2.19128e-05,0.0224233,0.0224233
2511,0.00126125,-0.000380423,0.000123607,0.027,0.027003,-1.18305e-05,2.12722e-06,0.0237089,0.0237089
2512,0.00125943,-0.000760845,0.000247214,0.027,0.0270119,-2.02773e-05,4.90744e-06,0.0236028,0.0236028
2513,0.0012584,-0.00114127,0.00037082,0.027,0.0270267,-2.77655e-05,7.40176e-06,0.02338,0.02338
2514,0.00125741,-0.00152169,0.000494427,0.027,0.0270474,-3.40825e-05,9.55292e-06,0.0229999,0.0229999
2515,0.00125663,-0.00190211,0.000618034,0.027,0.027074,-3.82944e-05,1.10634e-05,0.0224236,0.0224236
2516,0.00126126,-0.0004,0,0.027,0.027003,-1.23728e-05,-1.25658e-06,0.023709,0.023709
2517,0.00125944,-0.0008,0,0.027,0.0270119,-2.12658e-05,-1.22976e-06,0.0236029,0.0236029
2518,0.00125842,-0.0012,0,0.027,0.0270267,-2.91546e-05,-1.18387e-06,0.0233802,0.0233802
2519,0.00125742,-0.0016,0,0.027,0.0270474,-3.58138e-05,-1.11019e-06,0.0230002,0.0230002
2520,0.00125664,-0.002,0,0.027,0.027074,-4.02599e-05,-1.00436e-06,0.0224238,0.0224239
2521,0.00116361,-0.000123607,0.000380423,0.028,0.0280029,-3.09758e-06,7.19888e-06,0.0236661,0.0236661
2522,0.00116225,-0.000247214,0.000760845,0.028,0.0280114,-5.11361e-06,1.34789e-05,0.023562,0.023562
2523,0.00116148,-0.00037082,0.00114127,0.028,0.0280257,-6.89582e-06,1.90867e-05,0.0233429,0.0233429
2524,0.00116072,-0.000494427,0.00152169,0.028,0.0280457,-8.38527e-06,2.38637e-05,0.0229681,0.0229682
2525,0.00116013,-0.000618034,0.00190211,0.028,0.0280713,-9.35232e-06,2.71134e-05,0.0223985,0.0223985
2526,0.00116362,-0.000235114,0.000323607,0.028,0.0280029,-5.35403e-06,6.0564e-06,0.0236662,0.0236662
2527,0.00116226,-0.000470228,0.000647214,0.028,0.0280114,-9.21199e-06,1.14098e-05,0.0235621,0.0235621
2528,0.00116149,-0.000705343,0.000970821,0.028,0.0280257,-1.26381e-05,1.61962e-05,0.0233431,0.0233431
2529,0.00116074,-0.000940457,0.00129443,0.028,0.0280457,-1.55238e-05,2.0279e-05,0.0229684,0.0229685
2530,0.00116015,-0.00117557,0.00161803,0.028,0.0280713,-1.74338e-05,2.3065e-05,0.0223989,0.0223989
2531,0.00116362,-0.000323607,0.000235114,0.028,0.0280029,-7.14867e-06,4.27134e-06,0.0236663,0.0236663
2532,0.00116228,-0.000647214,0.000470228,0.028,0.0280114,-1.24749e-05,8.17239e-06,0.0235623,0.0235623
2533,0.00116151,-0.000970821,0.000705343,0.028,0.0280257,-1.72144e-05,1.16667e-05,0.0233434,0.0233434
2534,0.00116076,-0.00129443,0.000940457,0.028,0.0280457,-2.12177e-05,1.4655e-05,0.0229688,0.0229688
2535,0.00116017,-0.00161803,0.00117557,0.028,0.0280713,-2.38851e-05,1.67059e-05,0.0223992,0.0223993
2536,0.00116363,-0.000380423,0.000123607,0.028,0.0280029,-8.30448e-06,2.01709e-06,0.0236664,0.0236664
2537,0.00116229,-0.000760845,0.000247214,0.028,0.0280114,-1.45794e-05,4.0798e-06,0.0235625,0.0235625
