Block Name,p,Points_0,Points_1,Points_2,U_0,U_1,U_2
internalMesh,0.0822412,0.0048,-1.66842e-19,-0.11085,-0.00102941,0,0.00611089
internalMesh,0.0822719,0.006,-2.08553e-19,-0.11085,0,0,0
internalMesh,0.0821056,0.00114127,0.00037082,-0.11085,-0.000644653,-0.00020946,0.00845059
internalMesh,0.0821413,0.00228254,0.000741641,-0.11085,-0.00107979,-0.000350844,0.00830159
internalMesh,0.0821852,0.0034238,0.00111246,-0.11085,-0.0012829,-0.000416838,0.00777357
internalMesh,0.0822412,0.00456507,0.00148328,-0.11085,-0.000979022,-0.000318103,0.00611089
internalMesh,0.0822719,0.00570634,0.0018541,-0.11085,0,0,0
internalMesh,0.0821056,0.00097082,0.000705342,-0.11085,-0.000548374,-0.000398417,0.00845059
internalMesh,0.0821413,0.00194164,0.00141068,-0.11085,-0.000918522,-0.000667345,0.00830159
internalMesh,0.0821852,0.00291246,0.00211603,-0.11085,-0.0010913,-0.000792875,0.00777357
internalMesh,0.0822412,0.00388328,0.00282137,-0.11085,-0.000832806,-0.000605069,0.00611089
internalMesh,0.0822719,0.0048541,0.00352671,-0.11085,0,0,0
internalMesh,0.0821056,0.000705342,0.00097082,-0.11085,-0.000398417,-0.000548374,0.00845059
internalMesh,0.0821413,0.00141068,0.00194164,-0.11085,-0.000667345,-0.000918522,0.00830159
internalMesh,0.0821852,0.00211603,0.00291246,-0.11085,-0.000792875,-0.0010913,0.00777357
internalMesh,0.0822412,0.00282137,0.00388328,-0.11085,-0.000605069,-0.000832806,0.00611089
internalMesh,0.0822719,0.00352671,0.0048541,-0.11085,0,0,0
internalMesh,0.0821056,0.00037082,0.00114127,-0.11085,-0.00020946,-0.000644653,0.00845059
internalMesh,0.0821413,0.000741641,0.00228254,-0.11085,-0.000350844,-0.00107979,0.00830159
internalMesh,0.0821852,0.00111246,0.0034238,-0.11085,-0.000416838,-0.0012829,0.00777357
internalMesh,0.0822412,0.00148328,0.00456507,-0.11085,-0.000318103,-0.000979022,0.00611089
internalMesh,0.0822719,0.0018541,0.00570634,-0.11085,0,0,0
internalMesh,0.0821056,0,0.0012,-0.11085,0,-0.000677829,0.00845059
internalMesh,0.0821413,0,0.0024,-0.11085,0,-0.00113536,0.00830159
internalMesh,0.0821852,0,0.0036,-0.11085,0,-0.00134892,0.00777357
internalMesh,0.0822412,0,0.0048,-0.11085,0,-0.00102941,0.00611089
internalMesh,0.0822719,0,0.006,-0.11085,0,0,0
internalMesh,0.0820625,0,0,-0.10985,0,0,0.00948035
internalMesh,0.0820744,0.0012,-4.17106e-20,-0.10985,-0.000558767,0,0.00938292
internalMesh,0.0820939,0.0024,-8.34212e-20,-0.10985,-0.000904558,0,0.00898436
internalMesh,0.0821131,0.0036,-1.25132e-19,-0.10985,-0.00100655,0,0.00803418
internalMesh,0.0821387,0.0048,-1.66842e-19,-0.10985,-0.000695815,0,0.00575742
internalMesh,0.0821526,0.006,-2.08553e-19,-0.10985,0,0,0
internalMesh,0.0820744,0.00114127,0.00037082,-0.10985,-0.000531419,-0.000172668,0.00938292
internalMesh,0.0820939,0.00228254,0.000741641,-0.10985,-0.000860286,-0.000279524,0.00898436
internalMesh,0.0821131,0.0034238,0.00111246,-0.10985,-0.000957283,-0.00031104,0.00803418
internalMesh,0.0821387,0.00456507,0.00148328,-0.10985,-0.000661759,-0.000215018,0.00575742
internalMesh,0.0821526,0.00570634,0.0018541,-0.10985,0,0,0
internalMesh,0.0820744,0.00097082,0.000705342,-0.10985,-0.000452052,-0.000328435,0.00938292
internalMesh,0.0820939,0.00194164,0.00141068,-0.10985,-0.000731803,-0.000531686,0.00898436
internalMesh,0.0821131,0.00291246,0.00211603,-0.10985,-0.000814313,-0.000591633,0.00803418
internalMesh,0.0821387,0.00388328,0.00282137,-0.10985,-0.000562926,-0.000408989,0.00575742
internalMesh,0.0821526,0.0048541,0.00352671,-0.10985,0,0,0
internalMesh,0.0820744,0.000705342,0.00097082,-0.10985,-0.000328435,-0.000452052,0.00938292
internalMesh,0.0820939,0.00141068,0.00194164,-0.10985,-0.000531686,-0.000731803,0.00898436
internalMesh,0.0821131,0.00211603,0.00291246,-0.10985,-0.000591633,-0.000814313,0.00803418
internalMesh,0.0821387,0.00282137,0.00388328,-0.10985,-0.000408989,-0.000562926,0.00575742
internalMesh,0.0821526,0.00352671,0.0048541,-0.10985,0,0,0
internalMesh,0.0820744,0.00037082,0.00114127,-0.10985,-0.000172668,-0.000531419,0.00938292
internalMesh,0.0820939,0.000741641,0.00228254,-0.10985,-0.000279524,-0.000860286,0.00898436
internalMesh,0.0821131,0.00111246,0.0034238,-0.10985,-0.00031104,-0.000957283,0.00803418
internalMesh,0.0821387,0.00148328,0.00456507,-0.10985,-0.000215018,-0.000661759,0.00575742
internalMesh,0.0821526,0.0018541,0.00570634,-0.10985,0,0,0
internalMesh,0.0820744,0,0.0012,-0.10985,0,-0.000558767,0.00938292
internalMesh,0.0820939,0,0.0024,-0.10985,0,-0.000904558,0.00898436
internalMesh,0.0821131,0,0.0036,-0.10985,0,-0.00100655,0.00803418
internalMesh,0.0821387,0,0.0048,-0.10985,0,-0.000695815,0.00575742
internalMesh,0.0821526,0,0.006,-0.10985,0,0,0
internalMesh,0.0820216,0,0,-0.10885,0,0,0.0101953
internalMesh,0.0820266,0.0012,-4.17106e-20,-0.10885,-0.000372056,0,0.010037
internalMesh,0.0820322,0.0024,-8.34212e-20,-0.10885,-0.000606112,0,0.0094534
internalMesh,0.0820399,0.0036,-1.25132e-19,-0.10885,-0.000664904,0,0.0081866
internalMesh,0.0820546,0.0048,-1.66842e-19,-0.10885,-0.000438107,0,0.00550831
internalMesh,0.0820623,0.006,-2.08553e-19,-0.10885,0,0,0
internalMesh,0.0820266,0.00114127,0.00037082,-0.10885,-0.000353846,-0.000114972,0.010037
internalMesh,0.0820322,0.00228254,0.000741641,-0.10885,-0.000576447,-0.000187299,0.0094534
internalMesh,0.0820399,0.0034238,0.00111246,-0.10885,-0.000632362,-0.000205467,0.0081866
internalMesh,0.0820546,0.00456507,0.00148328,-0.10885,-0.000416664,-0.000135382,0.00550831
internalMesh,0.0820623,0.00570634,0.0018541,-0.10885,0,0,0
internalMesh,0.0820266,0.00097082,0.000705342,-0.10885,-0.000301,-0.000218689,0.010037
internalMesh,0.0820322,0.00194164,0.00141068,-0.10885,-0.000490355,-0.000356264,0.0094534
internalMesh,0.0820399,0.00291246,0.00211603,-0.10885,-0.000537919,-0.000390821,0.0081866
internalMesh,0.0820546,0.00388328,0.00282137,-0.10885,-0.000354436,-0.000257513,0.00550831
internalMesh,0.0820623,0.0048541,0.00352671,-0.10885,0,0,0
internalMesh,0.0820266,0.000705342,0.00097082,-0.10885,-0.000218689,-0.000301,0.010037
internalMesh,0.0820322,0.00141068,0.00194164,-0.10885,-0.000356264,-0.000490355,0.0094534
internalMesh,0.0820399,0.00211603,0.00291246,-0.10885,-0.000390821,-0.000537919,0.0081866
internalMesh,0.0820546,0.00282137,0.00388328,-0.10885,-0.000257513,-0.000354436,0.00550831
internalMesh,0.0820623,0.00352671,0.0048541,-0.10885,0,0,0
internalMesh,0.0820266,0.00037082,0.00114127,-0.10885,-0.000114972,-0.000353846,0.010037
internalMesh,0.0820322,0.000741641,0.00228254,-0.10885,-0.000187299,-0.000576447,0.0094534
internalMesh,0.0820399,0.00111246,0.0034238,-0.10885,-0.000205467,-0.000632362,0.0081866
internalMesh,0.0820546,0.00148328,0.00456507,-0.10885,-0.000135382,-0.000416664,0.00550831
internalMesh,0.0820623,0.0018541,0.00570634,-0.10885,0,0,0
internalMesh,0.0820266,0,0.0012,-0.10885,0,-0.000372056,0.010037
internalMesh,0.0820322,0,0.0024,-0.10885,0,-0.000606112,0.0094534
internalMesh,0.0820399,0,0.0036,-0.10885,0,-0.000664904,0.0081866
internalMesh,0.0820546,0,0.0048,-0.10885,0,-0.000438107,0.00550831
internalMesh,0.0820623,0,0.006,-0.10885,0,0,0
internalMesh,0.0819657,0,0,-0.10785,0,0,0.0106249
internalMesh,0.0819657,0.0012,-4.17106e-20,-0.10785,-0.000219508,0,0.0104378
internalMesh,0.0819646,0.0024,-8.34212e-20,-0.10785,-0.000371357,0,0.00975561
internalMesh,0.0819693,0.0036,-1.25132e-19,-0.10785,-0.000415952,0,0.00828019
internalMesh,0.0819792,0.0048,-1.66842e-19,-0.10785,-0.000268496,0,0.00535073
internalMesh,0.0819834,0.006,-2.08553e-19,-0.10785,0,0,0
internalMesh,0.0819657,0.00114127,0.00037082,-0.10785,-0.000208764,-6.78317e-05,0.0104378
internalMesh,0.0819646,0.00228254,0.000741641,-0.10785,-0.000353182,-0.000114756,0.00975561
internalMesh,0.0819693,0.0034238,0.00111246,-0.10785,-0.000395594,-0.000128536,0.00828019
internalMesh,0.0819792,0.00456507,0.00148328,-0.10785,-0.000255355,-8.29698e-05,0.00535073
internalMesh,0.0819834,0.00570634,0.0018541,-0.10785,0,0,0
internalMesh,0.0819657,0.00097082,0.000705342,-0.10785,-0.000177586,-0.000129024,0.0104378
internalMesh,0.0819646,0.00194164,0.00141068,-0.10785,-0.000300435,-0.000218278,0.00975561
internalMesh,0.0819693,0.00291246,0.00211603,-0.10785,-0.000336512,-0.00024449,0.00828019
internalMesh,0.0819792,0.00388328,0.00282137,-0.10785,-0.000217218,-0.000157818,0.00535073
internalMesh,0.0819834,0.0048541,0.00352671,-0.10785,0,0,0
internalMesh,0.0819657,0.000705342,0.00097082,-0.10785,-0.000129024,-0.000177586,0.0104378
internalMesh,0.0819646,0.00141068,0.00194164,-0.10785,-0.000218278,-0.000300435,0.00975561
internalMesh,0.0819693,0.00211603,0.00291246,-0.10785,-0.00024449,-0.000336512,0.00828019
internalMesh,0.0819792,0.00282137,0.00388328,-0.10785,-0.000157818,-0.000217218,0.00535073
internalMesh,0.0819834,0.00352671,0.0048541,-0.10785,0,0,0
internalMesh,0.0819657,0.00037082,0.00114127,-0.10785,-6.78317e-05,-0.000208764,0.0104378
internalMesh,0.0819646,0.000741641,0.00228254,-0.10785,-0.000114756,-0.000353182,0.00975561
internalMesh,0.0819693,0.00111246,0.0034238,-0.10785,-0.000128536,-0.000395594,0.00828019
internalMesh,0.0819792,0.00148328,0.00456507,-0.10785,-8.29698e-05,-0.000255355,0.00535073
internalMesh,0.0819834,0.0018541,0.00570634,-0.10785,0,0,0
internalMesh,0.0819657,0,0.0012,-0.10785,0,-0.000219508,0.0104378
internalMesh,0.0819646,0,0.0024,-0.10785,0,-0.000371357,0.00975561
internalMesh,0.0819693,0,0.0036,-0.10785,0,-0.000415952,0.00828019
internalMesh,0.0819792,0,0.0048,-0.10785,0,-0.000268496,0.00535073
internalMesh,0.0819834,0,0.006,-0.10785,0,0,0
internalMesh,0.0819004,0,0,-0.10685,0,0,0.0108644
internalMesh,0.0818987,0.0012,-4.17106e-20,-0.10685,-0.00012523,0,0.0106721
internalMesh,0.0818971,0.0024,-8.34212e-20,-0.10685,-0.000224059,0,0.00994668
internalMesh,0.0819016,0.0036,-1.25132e-19,-0.10685,-0.000258768,0,0.00833827
internalMesh,0.0819083,0.0048,-1.66842e-19,-0.10685,-0.000164246,0,0.00525199
internalMesh,0.0819105,0.006,-2.08553e-19,-0.10685,0,0,0
internalMesh,0.0818987,0.00114127,0.00037082,-0.10685,-0.000119101,-3.86982e-05,0.0106721
internalMesh,0.0818971,0.00228254,0.000741641,-0.10685,-0.000213093,-6.92381e-05,0.00994668
internalMesh,0.0819016,0.0034238,0.00111246,-0.10685,-0.000246103,-7.99637e-05,0.00833827
internalMesh,0.0819083,0.00456507,0.00148328,-0.10685,-0.000156207,-5.07548e-05,0.00525199
internalMesh,0.0819105,0.00570634,0.0018541,-0.10685,0,0,0
internalMesh,0.0818987,0.00097082,0.000705342,-0.10685,-0.000101313,-7.36084e-05,0.0106721
internalMesh,0.0818971,0.00194164,0.00141068,-0.10685,-0.000181268,-0.000131699,0.00994668
internalMesh,0.0819016,0.00291246,0.00211603,-0.10685,-0.000209348,-0.0001521,0.00833827
internalMesh,0.0819083,0.00388328,0.00282137,-0.10685,-0.000132878,-9.65413e-05,0.00525199
internalMesh,0.0819105,0.0048541,0.00352671,-0.10685,0,0,0
internalMesh,0.0818987,0.000705342,0.00097082,-0.10685,-7.36084e-05,-0.000101313,0.0106721
internalMesh,0.0818971,0.00141068,0.00194164,-0.10685,-0.000131699,-0.000181268,0.00994668
internalMesh,0.0819016,0.00211603,0.00291246,-0.10685,-0.0001521,-0.000209348,0.00833827
internalMesh,0.0819083,0.00282137,0.00388328,-0.10685,-9.65413e-05,-0.000132878,0.00525199
internalMesh,0.0819105,0.00352671,0.0048541,-0.10685,0,0,0
internalMesh,0.0818987,0.00037082,0.00114127,-0.10685,-3.86982e-05,-0.000119101,0.0106721
internalMesh,0.0818971,0.000741641,0.00228254,-0.10685,-6.92381e-05,-0.000213093,0.00994668
internalMesh,0.0819016,0.00111246,0.0034238,-0.10685,-7.99637e-05,-0.000246103,0.00833827
internalMesh,0.0819083,0.00148328,0.00456507,-0.10685,-5.07548e-05,-0.000156207,0.00525199
internalMesh,0.0819105,0.0018541,0.00570634,-0.10685,0,0,0
internalMesh,0.0818987,0,0.0012,-0.10685,0,-0.00012523,0.0106721
internalMesh,0.0818971,0,0.0024,-0.10685,0,-0.000224059,0.00994668
internalMesh,0.0819016,0,0.0036,-0.10685,0,-0.000258768,0.00833827
internalMesh,0.0819083,0,0.0048,-0.10685,0,-0.000164246,0.00525199
internalMesh,0.0819105,0,0.006,-0.10685,0,0,0
internalMesh,0.0818328,0,0,-0.10585,0,0,0.0110023
internalMesh,0.0818318,0.0012,-4.17106e-20,-0.10585,-7.53402e-05,0,0.0108131
internalMesh,0.0818316,0.0024,-8.34212e-20,-0.10585,-0.000140698,0,0.0100676
internalMesh,0.0818358,0.0036,-1.25132e-19,-0.10585,-0.000164436,0,0.00837314
internalMesh,0.0818402,0.0048,-1.66842e-19,-0.10585,-0.000101789,0,0.00518935
internalMesh,0.0818413,0.006,-2.08553e-19,-0.10585,0,0,0
internalMesh,0.0818318,0.00114127,0.00037082,-0.10585,-7.16528e-05,-2.32814e-05,0.0108131
internalMesh,0.0818316,0.00228254,0.000741641,-0.10585,-0.000133811,-4.3478e-05,0.0100676
internalMesh,0.0818358,0.0034238,0.00111246,-0.10585,-0.000156387,-5.08133e-05,0.00837314
internalMesh,0.0818402,0.00456507,0.00148328,-0.10585,-9.68069e-05,-3.14544e-05,0.00518935
internalMesh,0.0818413,0.00570634,0.0018541,-0.10585,0,0,0
internalMesh,0.0818318,0.00097082,0.000705342,-0.10585,-6.09515e-05,-4.42839e-05,0.0108131
internalMesh,0.0818316,0.00194164,0.00141068,-0.10585,-0.000113827,-8.27002e-05,0.0100676
internalMesh,0.0818358,0.00291246,0.00211603,-0.10585,-0.000133031,-9.66527e-05,0.00837315
