Block Name,p,Points_0,Points_1,Points_2,U_0,U_1,U_2
internalMesh,0.0996574,0,0,-0.11285,0,0,0.00880624
internalMesh,0.0996834,0.0012,-4.17106e-20,-0.11285,0,0,0.00880624
internalMesh,0.0997494,0.0024,-8.34212e-20,-0.11285,0,0,0.00880624
internalMesh,0.0998639,0.0036,-1.25132e-19,-0.11285,0,0,0.00880624
internalMesh,0.100088,0.0048,-1.66842e-19,-0.11285,0,0,0.00880624
internalMesh,0.100237,0.006,0,-0.11285,0,0,0.00440312
internalMesh,0.0996834,0.00114127,0.00037082,-0.11285,0,0,0.00880624
internalMesh,0.0997494,0.00228254,0.000741641,-0.11285,0,0,0.00880624
internalMesh,0.0998639,0.0034238,0.00111246,-0.11285,0,0,0.00880624
internalMesh,0.100088,0.00456507,0.00148328,-0.11285,0,0,0.00880624
internalMesh,0.100237,0.00570634,0.0018541,-0.11285,0,0,0.00440312
internalMesh,0.0996834,0.00097082,0.000705342,-0.11285,0,0,0.00880624
internalMesh,0.0997494,0.00194164,0.00141068,-0.11285,0,0,0.00880624
internalMesh,0.0998639,0.00291246,0.00211603,-0.11285,0,0,0.00880624
internalMesh,0.100088,0.00388328,0.00282137,-0.11285,0,0,0.00880624
internalMesh,0.100237,0.0048541,0.00352671,-0.11285,0,0,0.00440312
internalMesh,0.0996834,0.000705342,0.00097082,-0.11285,0,0,0.00880624
internalMesh,0.0997494,0.00141068,0.00194164,-0.11285,0,0,0.00880624
internalMesh,0.0998639,0.00211603,0.00291246,-0.11285,0,0,0.00880624
internalMesh,0.100088,0.00282137,0.00388328,-0.11285,0,0,0.00880624
internalMesh,0.100237,0.00352671,0.0048541,-0.11285,0,0,0.00440312
internalMesh,0.0996834,0.00037082,0.00114127,-0.11285,0,0,0.00880624
internalMesh,0.0997494,0.000741641,0.00228254,-0.11285,0,0,0.00880624
internalMesh,0.0998639,0.00111246,0.0034238,-0.11285,0,0,0.00880624
internalMesh,0.100088,0.00148328,0.00456507,-0.11285,0,0,0.00880624
internalMesh,0.100237,0.0018541,0.00570634,-0.11285,0,0,0.00440312
internalMesh,0.0996834,0,0.0012,-0.11285,0,0,0.00880624
internalMesh,0.0997494,0,0.0024,-0.11285,0,0,0.00880624
internalMesh,0.0998639,0,0.0036,-0.11285,0,0,0.00880624
internalMesh,0.100088,0,0.0048,-0.11285,0,0,0.00880624
internalMesh,0.100237,0,0.006,-0.11285,0,0,0.00440312
internalMesh,0.0996593,0,0,-0.11185,0,0,0.00957824
internalMesh,0.0996831,0.0012,-4.17106e-20,-0.11185,-0.000698094,0,0.00961243
internalMesh,0.099741,0.0024,-8.34212e-20,-0.11185,-0.00126797,0,0.00965613
internalMesh,0.0998325,0.0036,-1.25132e-19,-0.11185,-0.00173291,0,0.00948925
internalMesh,0.0999903,0.0048,-1.66842e-19,-0.11185,-0.00153137,0,0.00822913
internalMesh,0.100091,0.006,-2.08553e-19,-0.11185,0,0,0
internalMesh,0.0996831,0.00114127,0.00037082,-0.11185,-0.000663928,-0.000215723,0.00961243
internalMesh,0.099741,0.00228254,0.000741641,-0.11185,-0.00120591,-0.000391825,0.00965613
internalMesh,0.0998325,0.0034238,0.00111246,-0.11185,-0.0016481,-0.0005355,0.00948925
internalMesh,0.0999903,0.00456507,0.00148328,-0.11185,-0.00145642,-0.00047322,0.00822913
internalMesh,0.100091,0.00570634,0.0018541,-0.11185,0,0,0
internalMesh,0.0996831,0.00097082,0.000705342,-0.11185,-0.000564772,-0.00041033,0.00961243
internalMesh,0.099741,0.00194164,0.00141068,-0.11185,-0.00102581,-0.000745295,0.00965613
internalMesh,0.0998325,0.00291246,0.00211603,-0.11185,-0.00140196,-0.00101858,0.00948925
internalMesh,0.0999903,0.00388328,0.00282137,-0.11185,-0.0012389,-0.000900116,0.00822913
internalMesh,0.100091,0.0048541,0.00352671,-0.11185,0,0,0
internalMesh,0.0996831,0.000705342,0.00097082,-0.11185,-0.00041033,-0.000564772,0.00961243
internalMesh,0.099741,0.00141068,0.00194164,-0.11185,-0.000745295,-0.00102581,0.00965613
internalMesh,0.0998325,0.00211603,0.00291246,-0.11185,-0.00101858,-0.00140196,0.00948925
internalMesh,0.0999903,0.00282137,0.00388328,-0.11185,-0.000900116,-0.0012389,0.00822913
internalMesh,0.100091,0.00352671,0.0048541,-0.11185,0,0,0
internalMesh,0.0996831,0.00037082,0.00114127,-0.11185,-0.000215723,-0.000663928,0.00961243
internalMesh,0.099741,0.000741641,0.00228254,-0.11185,-0.000391825,-0.00120591,0.00965613
internalMesh,0.0998325,0.00111246,0.0034238,-0.11185,-0.0005355,-0.0016481,0.00948925
internalMesh,0.0999903,0.00148328,0.00456507,-0.11185,-0.00047322,-0.00145642,0.00822913
internalMesh,0.100091,0.0018541,0.00570634,-0.11185,0,0,0
internalMesh,0.0996831,0,0.0012,-0.11185,0,-0.000698094,0.00961243
internalMesh,0.099741,0,0.0024,-0.11185,0,-0.00126797,0.00965613
internalMesh,0.0998325,0,0.0036,-0.11185,0,-0.00173291,0.00948925
internalMesh,0.0999903,0,0.0048,-0.11185,0,-0.00153137,0.00822913
internalMesh,0.100091,0,0.006,-0.11185,0,0,0
internalMesh,0.0996486,0,0,-0.11085,0,0,0.0109368
internalMesh,0.0996682,0.0012,-4.17106e-20,-0.11085,-0.000870089,0,0.0109177
internalMesh,0.0997091,0.0024,-8.34212e-20,-0.11085,-0.00146165,0,0.0107465
internalMesh,0.0997593,0.0036,-1.25132e-19,-0.11085,-0.00174639,0,0.010094
internalMesh,0.0998247,0.0048,-1.66842e-19,-0.11085,-0.00133767,0,0.00796738
internalMesh,0.0998611,0.006,-2.08553e-19,-0.11085,0,0,0
internalMesh,0.0996682,0.00114127,0.00037082,-0.11085,-0.000827505,-0.000268872,0.0109177
internalMesh,0.0997091,0.00228254,0.000741641,-0.11085,-0.00139011,-0.000451674,0.0107465
internalMesh,0.0997593,0.0034238,0.00111246,-0.11085,-0.00166092,-0.000539666,0.010094
internalMesh,0.0998247,0.00456507,0.00148328,-0.11085,-0.0012722,-0.000413365,0.00796738
internalMesh,0.0998611,0.00570634,0.0018541,-0.11085,0,0,0
internalMesh,0.0996682,0.00097082,0.000705342,-0.11085,-0.000703918,-0.000511426,0.0109177
internalMesh,0.0997091,0.00194164,0.00141068,-0.11085,-0.0011825,-0.000859134,0.0107465
internalMesh,0.0997593,0.00291246,0.00211603,-0.11085,-0.00141286,-0.0010265,0.010094
internalMesh,0.0998247,0.00388328,0.00282137,-0.11085,-0.0010822,-0.000786266,0.00796738
internalMesh,0.0998611,0.0048541,0.00352671,-0.11085,0,0,0
internalMesh,0.0996682,0.000705342,0.00097082,-0.11085,-0.000511426,-0.000703918,0.0109177
internalMesh,0.0997091,0.00141068,0.00194164,-0.11085,-0.000859134,-0.0011825,0.0107465
internalMesh,0.0997593,0.00211603,0.00291246,-0.11085,-0.0010265,-0.00141286,0.010094
internalMesh,0.0998247,0.00282137,0.00388328,-0.11085,-0.000786266,-0.0010822,0.00796738
internalMesh,0.0998611,0.00352671,0.0048541,-0.11085,0,0,0
internalMesh,0.0996682,0.00037082,0.00114127,-0.11085,-0.000268872,-0.000827505,0.0109177
internalMesh,0.0997091,0.000741641,0.00228254,-0.11085,-0.000451674,-0.00139011,0.0107465
internalMesh,0.0997593,0.00111246,0.0034238,-0.11085,-0.000539666,-0.00166092,0.010094
internalMesh,0.0998247,0.00148328,0.00456507,-0.11085,-0.000413365,-0.0012722,0.00796738
internalMesh,0.0998611,0.0018541,0.00570634,-0.11085,0,0,0
internalMesh,0.0996682,0,0.0012,-0.11085,0,-0.000870089,0.0109177
internalMesh,0.0997091,0,0.0024,-0.11085,0,-0.00146165,0.0107465
internalMesh,0.0997593,0,0.0036,-0.11085,0,-0.00174639,0.010094
internalMesh,0.0998247,0,0.0048,-0.11085,0,-0.00133767,0.00796738
internalMesh,0.0998611,0,0.006,-0.11085,0,0,0
internalMesh,0.0996155,0,0,-0.10985,0,0,0.0122491
internalMesh,0.0996293,0.0012,-4.17106e-20,-0.10985,-0.000733091,0,0.0121312
internalMesh,0.0996519,0.0024,-8.34212e-20,-0.10985,-0.00118701,0,0.0116386
internalMesh,0.0996737,0.0036,-1.25132e-19,-0.10985,-0.00132313,0,0.0104377
internalMesh,0.0997032,0.0048,-1.66842e-19,-0.10985,-0.000915704,0,0.00750625
internalMesh,0.0997197,0.006,-2.08553e-19,-0.10985,0,0,0
internalMesh,0.0996293,0.00114127,0.00037082,-0.10985,-0.000697211,-0.000226537,0.0121312
internalMesh,0.0996519,0.00228254,0.000741641,-0.10985,-0.00112891,-0.000366805,0.0116386
internalMesh,0.0996737,0.0034238,0.00111246,-0.10985,-0.00125837,-0.00040887,0.0104377
internalMesh,0.0997032,0.00456507,0.00148328,-0.10985,-0.000870886,-0.000282968,0.00750625
internalMesh,0.0997197,0.00570634,0.0018541,-0.10985,0,0,0
internalMesh,0.0996293,0.00097082,0.000705342,-0.10985,-0.000593083,-0.0004309,0.0121312
internalMesh,0.0996519,0.00194164,0.00141068,-0.10985,-0.000960309,-0.000697705,0.0116386
internalMesh,0.0996737,0.00291246,0.00211603,-0.10985,-0.00107043,-0.000777716,0.0104377
internalMesh,0.0997032,0.00388328,0.00282137,-0.10985,-0.00074082,-0.000538238,0.00750625
internalMesh,0.0997197,0.0048541,0.00352671,-0.10985,0,0,0
internalMesh,0.0996293,0.000705342,0.00097082,-0.10985,-0.0004309,-0.000593083,0.0121312
